strain	divergence	excess divergence	#Ns	#gaps	clusters	gaps	all_snps
USA/WA-UW274/2020	5	-2.05	22	0			8781,17746,17857,18059,28143
USA/WA4-UW2/2020	5	-1.1	0	0			8781,17746,17857,18059,28143
USA/WA-UW90/2020	5	-1.85	0	3		516-519	8781,17746,17857,18059,28143
India/GBRC21/2020	5	-5.07	61	0			240,3036,14407,23402,23592
India/GBRC29/2020	5	-5.34	11	0			240,3036,14407,14672,23402
USA/WA-UW-1327/2020	5	-2.4	40	0			8781,17746,17857,18059,28143
USA/WA-UW-1338/2020	5	-2.4	0	0			8781,17746,17857,18059,28143
USA/WA-NH22/2020	5	-2.05	0	0			8781,17746,17857,18059,28143
Iran/HGRC-1.1-IPI-8206/2020	5	-1.78	0	0			1396,11082,18376,29373,29741
USA/WA-UW315/2020	5	-2.05	0	0			8781,17746,17857,18059,28143
USA/VA-DCLS-0018/2020	5	-1.23	0	0			8781,17746,17857,18059,28143
USA/CA-CZB-1231/2020	5	-3.49	0	0			6311,11082,13729,23928,28310
USA/CA-CZB-1223/2020	5	-3.56	0	0			1466,13418,26031,27130,29710
USA/CA-CZB-1206/2020	5	-2.88	20	0			240,3036,14407,20267,23402
USA/CA-CZB-1097/2020	5	-5.07	0	0			8781,17746,17857,18059,28143
France/10006HC/2020	5	-1.23	0	0			240,3036,14407,15323,23402
ENV/USA/UF-11/2020	5	-0.62	0	0			8781,17746,17857,18059,28143
Australia/VIC54/2020	5	-1.99	47	0			240,3036,14407,23402,26529
USA/OH-MDHHS-SC20370/2020	5	-2.05	745	0			240,3036,14407,20267,23402
USA/NY-CDC-SURV0319NYC/2020	5	-1.71	0	0			240,1058,14407,23402,25562
USA/NY-PV08136/2020	5	-2.33	42	0			11082,14804,18085,26143,28841
USA/NY-PV08414/2020	5	-2.26	1194	0			11082,11949,14804,17246,26143
USA/CZB-RR057-005/2020	5	-2.4	1	0			8089,11082,14804,17246,26143
Australia/VIC1200/2020	5	-3.29	216	0			8781,17857,18059,24693,28143
USA/CA-CZB040/2020	5	-2.88	562	0			8781,17746,17857,18059,28143
USA/USA-WA_0447/2020	5	-2.47	0	0			8781,17746,17857,18059,28143
Australia/VIC385/2020	5	-2.74	81	0			3364,11082,14804,23706,26143
Australia/VIC413/2020	5	-2.95	714	0			240,3036,14407,23402,25611
Australia/VIC92/2020	4	-3.19	8	0			240,3036,14407,23402
Australia/VIC920/2020	4	-4.01	200	0			240,3036,14407,23402
Australia/VIC962/2020	4	-4.01	906	0			240,3036,14407,23402
USA/CA-CZB-1046/2020	4	-4.56	0	0			4474,10276,14177,23795
Uruguay/Mdeo-1/2020	4	-3.05	0	0			8781,17469,26087,28143
India/GMCKN318/2020	4	-2.92	0	0			240,3036,14407,23402
Thailand/SI200615-NT/2020	4	-0.04	109	0			2116,2914,15326,25216
Australia/VIC985/2020	4	-4.22	238	0			240,3036,14407,23402
China/WHUHnCoV020/2020	4	0.44	124	0			2535,8781,8885,28143
USA/WA-UW120/2020	4	-2.92	15	0			240,3036,14407,23402
Australia/VIC489/2020	4	-4.15	215	0			240,3036,14407,23402
Australia/VIC767/2020	4	-3.53	714	0			6311,13729,23928,28310
USA/IN_2001/2020	4	-2.78	2	0			240,3036,14407,23402
USA/MI-MDHHS-SC20177/2020	4	-3.81	1240	0			240,3036,14407,23402
USA/NY-PV09099/2020	4	-3.4	75	0			11082,14804,17246,26143
USA/UT-00009/2020	4	-2.99	339	0			240,3036,14407,23402
Australia/VIC329/2020	4	-3.33	287	0			240,3036,14407,23402
USA/MI-MDHHS-SC20314/2020	4	-2.99	273	0			11082,14804,17246,26143
Australia/VIC174/2020	4	-3.4	15	0			240,3036,14407,23402
Germany/BavPat1-ChVir929/2020	3	-0.97	17	0			240,3036,23402
Germany/BavPat3-ChVir1020/2020	3	-0.97	0	0			240,3036,23402
USA/WA1/2020	3	-0.36	0	0			8781,18059,28143
USA/WI-UW-266/2020	3	-5.77	17	0			3810,14691,29710
Australia/VIC82/2020	3	-4.12	11	0			2557,14804,26143
USA/CA-CZB-1033/2020	3	-6.79	0	0			318,10276,13722
USA/CA-CZB-1025/2020	3	-6.79	0	0			5811,6362,25691
USA/NE_6605/2020	3	-3.51	0	0			1439,2890,12650
USA/NY-CDC-SURV0144NYC/2020	3	-3.3	0	0			11216,17439,29710
Australia/VIC771/2020	3	-4.4	970	0			1396,28687,29741
Australia/VIC61/2020	3	-4.05	1241	0			14804,17246,26143
Australia/VIC423/2020	3	-4.88	1490	0			17857,18059,28143
France/10068ND/2020	2	-4.23	0	0			240,23402
Australia/VIC970/2020	2	-6.01	1209	0			14804,28886
USA/CA-CZB-1071/2020	2	-7.86	21	0			11562,25691
USA/CA-CZB-1092/2020	2	-8.41	1	0			490,14939
China/Beijing_IME-BJ05/2020	2	-1.9	0	0			185,23519
Wuhan/WH01/2019	2	0.29	0	0			6967,11763
Australia/VIC96/2020	1	-6.26	9	3		1603-1606	4682
USA/CA-CZB-1045/2020	1	-7.56	1	0			14939
USA/CA-CZB-1022/2020	1	-8.79	278	0			25691
USA/CA-CZB-1052/2020	1	-7.7	1443	0			10276
USA/CA-CZB-1085/2020	1	-7.84	1	0			14939
Wuhan/IPBCAMS-WH-03/2019	1	-0.99	0	0			6995
Vietnam/nCoV-19-02S/2020	1	-2.56	0	0			10231
USA/CA-CZB-1219/2020	1	-6.53	1	0			14261
USA/CA-SCCPHD-UC13/2020	1	-5.3	99	0			29710
Australia/VIC102/2020	1	-6.26	360	0			23421
Australia/VIC14/2020	1	-3.32	532	0			17372
France/10060KV/2020	0	-6.23	0	0			
Hangzhou/HZ-1/2020	0	-3.42	17	0			
Australia/VIC969/2020	0	-8.01	1844	0			
Wuhan-Hu-1/2019	0	-1.71	0	0			
